Frequency_desired,Amplitude_desired,Frequency_image,Amplitude_image,IRR
1800000000,-81.9184192451947,2400000000,-106.4568961800949,24.538476934900203
1810000000,-81.967394785104,2390000000,-106.4201958330435,24.452801047939488
1820000000,-82.0160877639049,2380000000,-106.383338906328,24.3672511424231
1830000000,-82.0645254254867,2370000000,-106.3463253590772,24.28179993359049
1840000000,-82.1127295305427,2360000000,-106.3091427259516,24.19641319540891
1850000000,-82.1607066220813,2350000000,-106.27180472891,24.111098106828692
1860000000,-82.2084441538954,2340000000,-106.2342955399869,24.025851386091503
1870000000,-82.2559499088802,2330000000,-106.196625471177,23.940675562296803
1880000000,-82.3032114972944,2320000000,-106.1587862846669,23.855574787372504
1890000000,-82.3502092774958,2310000000,-106.1207843381138,23.770575060618
1900000000,-82.4027348610009,2300000000,-106.0825750139695,23.67984015296861
1910000000,-82.4435027347093,2290000000,-106.0442290172824,23.600726282573106
1920000000,-82.4897387080925,2280000000,-106.005704119733,23.515965411640494
1930000000,-82.5357304871489,2270000000,-105.9669924471656,23.4312619600167
1940000000,-82.5814737475488,2260000000,-105.9280987421908,23.346624994642
1950000000,-82.6269700800556,2250000000,-105.8890411914066,23.262071111351005
1960000000,-82.672211157855,2240000000,-105.8498013070414,23.1775901491864
1970000000,-82.7172098624832,2230000000,-105.8103934850187,23.09318362253549
1980000000,-82.7619696305617,2220000000,-105.7708480907486,23.008878460186907
1990000000,-82.8064928929881,2210000000,-105.7311507356199,22.924657842631802
2000000000,-82.8507850555599,2200000000,-105.6913418398293,22.84055678426941
2010000000,-82.8948509768657,2190000000,-105.6513933603047,22.756542383438997
2020000000,-82.9386910301582,2180000000,-105.6112571554734,22.6725661253152
2030000000,-82.9823064658523,2170000000,-105.5708990747929,22.5885926089406
2040000000,-83.0257132313538,2160000000,-105.5303033070633,22.5045900757095
2050000000,-83.0689066998585,2150000000,-105.4894548571691,22.42054815731059
2060000000,-83.1118989977262,2140000000,-105.4483589346065,22.336459936880303
2070000000,-83.1546708176972,2130000000,-105.407041439769,22.25237062207181
2080000000,-83.1972425143338,2120000000,-105.3654936437051,22.1682511293713
2090000000,-83.2396261416463,2110000000,-105.3237388480413,22.084112706395004
2100000000,-83.2774072837558,2100000000,-105.2774072837558,22.0
2110000000,-83.3237388480413,2090000000,-105.2396261416463,21.915887293604996
2120000000,-83.3654936437051,2080000000,-105.1972425143338,21.8317488706287
2130000000,-83.407041439769,2070000000,-105.1546708176972,21.74762937792819
2140000000,-83.4483589346065,2060000000,-105.1118989977262,21.663540063119697
2150000000,-83.4894548571691,2050000000,-105.0689066998585,21.57945184268941
2160000000,-83.5303033070633,2040000000,-105.0257132313538,21.4954099242905
2170000000,-83.5708990747929,2030000000,-104.9823064658523,21.4114073910594
2180000000,-83.6112571554734,2020000000,-104.9386910301582,21.3274338746848
2190000000,-83.6513933603047,2010000000,-104.8948509768657,21.243457616561003
2200000000,-83.6913418398293,2000000000,-104.8507850555599,21.15944321573059
2210000000,-83.7311507356199,1990000000,-104.8064928929881,21.075342157368198
2220000000,-83.7708480907486,1980000000,-104.7619696305617,20.991121539813093
2230000000,-83.8103934850187,1970000000,-104.7172098624832,20.90681637746451
2240000000,-83.8498013070414,1960000000,-104.672211157855,20.8224098508136
2250000000,-83.8890411914066,1950000000,-104.6269700800556,20.737928888648995
2260000000,-83.9280987421908,1940000000,-104.5814737475488,20.653375005358
2270000000,-83.9669924471656,1930000000,-104.5357304871489,20.5687380399833
2280000000,-84.005704119733,1920000000,-104.4897387080925,20.484034588359506
2290000000,-84.0442290172824,1910000000,-104.4435027347093,20.399273717426894
2300000000,-84.0825750139695,1900000000,-104.4027348610009,20.32015984703139
2310000000,-84.1207843381138,1890000000,-104.3502092774958,20.229424939382
2320000000,-84.1587862846669,1880000000,-104.3032114972944,20.144425212627496
2330000000,-84.196625471177,1870000000,-104.2559499088802,20.059324437703197
