Time_s,Filtered_Signal
0.0263,1.175464073
0.0264,0.582460174
0.0265,0.987159644
0.0266,1.290564156
0.0267,0.414168473
0.0268,-0.978791386
0.0269,-1.245160692
0.027,-0.007647541
0.0271,1.217639596
0.0272,0.929785324
0.0273,-0.467463462
0.0274,-1.325016111
0.0275,-0.996917326
0.0276,-0.574711294
0.0277,-1.148587801
0.0278,-2.08498964
0.0279,-1.785529222
0.028,0.07161286
0.0281,1.909581257
0.0282,2.16738665
0.0283,1.195256482
0.0284,0.600556408
0.0285,1.003396671
0.0286,1.304799048
0.0287,0.42627963
0.0288,-0.96890324
0.0289,-1.237571743
0.029,-0.002410362
0.0291,1.220496339
0.0292,0.930256916
0.0293,-0.469357978
0.0294,-1.329234357
0.0295,-1.003394242
0.0296,-0.583360013
0.0297,-1.15930073
0.0298,-2.097639733
0.0299,-1.799971437
0.03,0.055539936
0.0301,1.892053646
0.0302,2.148593084
0.0303,1.175396399
0.0304,0.579837869
0.0305,0.982034197
0.0306,1.283011431
0.0307,0.404287708
0.0308,-0.990878791
0.0309,-1.25931261
0.031,-0.023702733
0.0311,1.199859686
0.0312,0.910474625
0.0313,-0.488097736
0.0314,-1.346755646
0.0315,-1.019534993
0.0316,-0.597973492
0.0317,-1.172256849
0.0318,-2.108826173
0.0319,-1.809294595
0.032,0.048154212
0.0321,1.886659505
0.0322,2.145224337
0.0323,1.174066386
0.0324,0.580539525
0.0325,0.984740332
0.0326,1.287675196
0.0327,0.410843258
0.0328,-0.982515455
0.0329,-1.249242621
0.033,-0.012043189
0.0331,1.212977051
0.0332,0.924904895
0.0333,-0.472511089
0.0334,-1.330179089
0.0335,-1.002143177
0.0336,-0.579947437
0.0337,-1.153782078
0.0338,-2.090090826
0.0339,-1.790487528
0.034,0.066845307
0.0341,1.905049958
0.0342,2.163134304
0.0343,1.191322588
0.0344,0.59697691
0.0345,1.000203628
0.0346,1.30202036
0.0347,0.423938799
0.0348,-0.970787297
0.0349,-1.238984842
0.035,-0.003343138
0.0351,1.220048378
0.0352,0.930293401
0.0353,-0.468842231
0.0354,-1.328249243
0.0355,-1.001954226
0.0356,-0.581483938
0.0357,-1.157011586
0.0358,-2.094964388
0.0359,-1.796940333
0.036,0.058893125
0.0361,1.895692378
0.0362,2.152478342
0.0363,1.179487104
0.0364,0.584091306
0.0365,0.986406461
0.0366,1.28745787
0.0367,0.408763379
0.0368,-0.986418676
0.0369,-1.254912237
0.037,-0.019405257
0.0371,1.204012564
0.0372,0.914443057
0.0373,-0.484351369
0.0374,-1.34326638
0.0375,-1.016334959
0.0376,-0.595091628
0.0377,-1.169718639
0.0378,-2.106653433
0.0379,-1.807505289
0.038,0.04954611
0.0381,1.887644111
0.0382,2.145795915
0.0383,1.174223363
0.0384,0.580284466
0.0385,0.984079873
0.0386,1.286619936
0.0387,0.409407617
0.0388,-0.984313419
0.0389,-1.251381428
0.039,-0.014498184
0.0391,1.210233422
0.0392,0.92190278
0.0393,-0.475739271
0.0394,-1.333598994
0.0395,-1.005718897
0.0396,-0.583641873
0.0397,-1.157557318
0.0398,-2.093908534
0.0399,-1.794309326
0.04,0.063057456
0.0401,1.901333374
0.0402,2.159525227
0.0403,1.187855831
0.0404,0.593685521
0.0405,0.997118586
0.0406,1.299170283
0.0407,0.421349684
0.0408,-0.973092306
0.0409,-1.240985656
